Town,Price,Amount of Rooms,Surface Area,Floor/Floors,Type,Sale/Rent
Tartu,"295 000 € 1 789 €/m²
Kuumakse 1 359 €",4,164.9 m²,N/A,Apartment,For Sale
,"46 500 € 957 €/m²
Kuumakse 214 €",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"121 000 € 2 420 €/m²
Kuumakse 557 €",3,50 m²,7/9,Apartment,For Sale
Pärnu,"125 000 € 2 648 €/m²
Kuumakse 576 €",2,47.2 m²,2/3,Apartment,For Sale
Tallinn,"110 000 € 2 494 €/m²
Kuumakse 507 €",2,44.1 m²,3/5,Apartment,For Sale
Haapsalu,"85 000 € 1 778 €/m²
Kuumakse 391 €",2,47.8 m²,2/4,Apartment,For Sale
Pärnu,"24 900 € 501 €/m²
Kuumakse 115 €",3,49.7 m²,2/2,Apartment,For Sale
,"16 200 € 489 €/m²
Vaatan kuumakset",N/A,N/A,N/A,Apartment,For Sale
Haapsalu,"82 000 € 1 233 €/m²
Kuumakse 378 €",3,66.5 m²,3/5,Apartment,For Sale
,"6 500 € 156 €/m²
Vaatan kuumakset",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"81 500 € 2 462 €/m²
Kuumakse 375 €",1,33.1 m²,4/5,Apartment,For Sale
Pärnu,"99 000 € 2 286 €/m²
Kuumakse 456 €",2,43.3 m²,1/2,Apartment,For Sale
Tallinn,"280 000 € 2 552 €/m²
Kuumakse 1 290 €",3,109.7 m²,7/10,Apartment,For Sale
,"55 000 € 708 €/m²
Kuumakse 253 €",N/A,N/A,N/A,Apartment,For Sale
Pärnu,"620 000 € 5 606 €/m²
Kuumakse 2 856 €",3,110.6 m²,7/8,Apartment,For Sale
Tallinn,"179 000 € 3 706 €/m²
Kuumakse 824 €",2,48.3 m²,4/4,Apartment,For Sale
Pärnu,"210 000 € 2 991 €/m²
Kuumakse 967 €",3,70.2 m²,2/3,Apartment,For Sale
Tallinn,"127 000 € 2 613 €/m²
Kuumakse 585 €",3,48.6 m²,4/4,Apartment,For Sale
Tallinn,"112 000 € 2 383 €/m²
Kuumakse 516 €",2,47 m²,2/5,Apartment,For Sale
Tallinn,"269 900 € 3 834 €/m²
Kuumakse 1 243 €",3,70.4 m²,4/5,Apartment,For Sale
Tallinn,"247 000 € 3 107 €/m²
Kuumakse 1 138 €",4,79.5 m²,7/10,Apartment,For Sale
Tallinn,"1 200 000 € 6 091 €/m²
Kuumakse 5 527 €",4,197 m²,2/3,Apartment,For Sale
Tallinn,"92 000 € 1 859 €/m²
Kuumakse 424 €",2,49.5 m²,9/9,Apartment,For Sale
Tallinn,"245 900 € 4 918 €/m²
Kuumakse 1 133 €",2,50 m²,2/6,Apartment,For Sale
Tartu,"183 000 € 3 050 €/m²
Kuumakse 843 €",3,60 m²,1/3,Apartment,For Sale
Tartu,"95 000 € 1 675 €/m²
Kuumakse 438 €",4,56.7 m²,5/5,Apartment,For Sale
,"179 500 € 3 998 €/m²
Kuumakse 827 €",N/A,N/A,N/A,Apartment,For Sale
,"94 500 € 1 532 €/m²
Kuumakse 435 €",N/A,N/A,N/A,Apartment,For Sale
Tartu,"132 990 € 2 942 €/m²
Kuumakse 612 €",2,45.2 m²,2/4,Apartment,For Sale
Tallinn,"98 000 € 2 970 €/m²
Kuumakse 451 €",1,33 m²,2/5,Apartment,For Sale
Tallinn,"175 100 € 2 501 €/m²
Kuumakse 806 €",3,70 m²,5/5,Apartment,For Sale
Pärnu,"110 000 € 2 981 €/m²
Kuumakse 507 €",2,36.9 m²,3/3,Apartment,For Sale
Tallinn,"175 000 € 2 743 €/m²
Kuumakse 806 €",3,63.8 m²,3/3,Apartment,For Sale
Pärnu,"18 800 € 470 €/m²
Vaatan kuumakset",2,40 m²,1/2,Apartment,For Sale
Pärnu,"295 000 € 3 217 €/m²
Kuumakse 1 359 €",4,91.7 m²,3/3,Apartment,For Sale
,"10 000 € 198 €/m²
Vaatan kuumakset",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"519 000 € 3 426 €/m²
Kuumakse 2 390 €",3,151.5 m²,N/A,Apartment,For Sale
Haapsalu,"75 000 € 1 244 €/m²
Kuumakse 345 €",3,60.3 m²,4/5,Apartment,For Sale
Tartu,"75 000 € 1 693 €/m²
Kuumakse 345 €",2,44.3 m²,3/3,Apartment,For Sale
Pärnu,"74 000 € 1 501 €/m²
Kuumakse 341 €",3,49.3 m²,2/2,Apartment,For Sale
,"34 000 € 756 €/m²
Kuumakse 157 €",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"159 000 € 2 809 €/m²
Kuumakse 732 €",3,56.6 m²,2/5,Apartment,For Sale
Pärnu,"170 000 € 4 229 €/m²
Kuumakse 783 €",2,40.2 m²,2/5,Apartment,For Sale
Tallinn,"255 349 € 3 347 €/m²
Kuumakse 1 176 €",4,76.3 m²,1/8,Apartment,For Sale
Tallinn,"150 000 € 2 500 €/m²
Kuumakse 691 €",2,60 m²,1/4,Apartment,For Sale
Pärnu,"28 500 € 735 €/m²
Kuumakse 131 €",1,38.8 m²,1/3,Apartment,For Sale
Tartu,"216 990 € 2 132 €/m²
Kuumakse 999 €",5,101.8 m²,1/4,Apartment,For Sale
Tallinn,"298 000 € 3 772 €/m²
Kuumakse 1 372 €",3,79 m²,1/6,Apartment,For Sale
Tallinn,"250 000 € 4 826 €/m²
Kuumakse 1 151 €",2,51.8 m²,3/5,Apartment,For Sale
,"360 000 € 2 594 €/m²
Kuumakse 1 658 €",N/A,N/A,N/A,Apartment,For Sale
Võru,"25 000 € 581 €/m²
Kuumakse 115 €",2,43 m²,2/2,Apartment,For Sale
Tallinn,"187 300 € 4 028 €/m²
Kuumakse 863 €",2,46.5 m²,3/4,Apartment,For Sale
,"216 900 € 3 658 €/m²
Kuumakse 999 €",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"139 900 € 4 176 €/m²
Kuumakse 644 €",2,33.5 m²,2/3,Apartment,For Sale
Tallinn,"149 700 € 2 803 €/m²
Kuumakse 689 €",3,53.4 m²,3/5,Apartment,For Sale
Tallinn,"139 950 € 4 178 €/m²
Kuumakse 644 €",1,33.5 m²,3/6,Apartment,For Sale
Tallinn,"565 000 € 5 684 €/m²
Kuumakse 2 602 €",3,99.4 m²,6/7,Apartment,For Sale
Tallinn,"259 000 € 3 442 €/m²
Kuumakse 1 193 €",4,75.2 m²,3/3,Apartment,For Sale
,"36 000 € 587 €/m²
Kuumakse 166 €",N/A,N/A,N/A,Apartment,For Sale
,"221 000 € 3 379 €/m²
Kuumakse 1 018 €",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"285 000 € 4 545 €/m²
Kuumakse 1 313 €",3,62.7 m²,1/4,Apartment,For Sale
,"55 000 € 825 €/m²
Kuumakse 253 €",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"116 666 € 2 558 €/m²
Kuumakse 537 €",2,45.6 m²,5/5,Apartment,For Sale
Tallinn,"425 000 € 6 768 €/m²
Kuumakse 1 957 €",3,62.8 m²,3/5,Apartment,For Sale
Tallinn,"549 000 € 5 377 €/m²
Kuumakse 2 529 €",4,102.1 m²,2/3,Apartment,For Sale
Tallinn,"252 000 € 3 170 €/m²
Kuumakse 1 161 €",4,79.5 m²,8/10,Apartment,For Sale
Tallinn,"41 300 € 2 174 €/m²
Kuumakse 190 €",N/A,19 m²,N/A,Apartment,For Sale
,"63 000 € 1 921 €/m²
Kuumakse 290 €",N/A,N/A,N/A,Apartment,For Sale
Tartu,"134 000 € 2 876 €/m²
Kuumakse 617 €",2,46.6 m²,3/3,Apartment,For Sale
Tallinn,"84 900 € 2 588 €/m²
Kuumakse 391 €",1,32.8 m²,3/9,Apartment,For Sale
,"7 900 € 201 €/m²
Vaatan kuumakset",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"367 000 € 6 484 €/m²
Kuumakse 1 690 €",2,56.6 m²,5/8,Apartment,For Sale
Tallinn,"105 000 € 2 397 €/m²
Kuumakse 484 €",2,43.8 m²,1/5,Apartment,For Sale
Narva,"55 000 € 879 €/m²
Kuumakse 253 €",3,62.6 m²,4/9,Apartment,For Sale
Tallinn,"259 000 € 5 860 €/m²
Kuumakse 1 193 €",3,44.2 m²,3/3,Apartment,For Sale
Tallinn,"145 000 € 2 409 €/m²
Kuumakse 668 €",3,60.2 m²,3/4,Apartment,For Sale
Tallinn,"329 900 € 4 588 €/m²
Kuumakse 1 519 €",3,71.9 m²,2/4,Apartment,For Sale
Tallinn,"350 000 € 4 321 €/m²
Kuumakse 1 612 €",3,81 m²,2/4,Apartment,For Sale
Tallinn,"239 900 € 4 886 €/m²
Kuumakse 1 105 €",2,49.1 m²,1/6,Apartment,For Sale
Tallinn,"170 760 € 3 127 €/m²
Kuumakse 786 €",2,54.6 m²,11/16,Apartment,For Sale
Tallinn,"149 900 € 2 339 €/m²
Kuumakse 690 €",3,64.1 m²,7/10,Apartment,For Sale
Tallinn,"225 000 € 2 595 €/m²
Kuumakse 1 036 €",3,86.7 m²,3/4,Apartment,For Sale
Pärnu,"149 000 € 5 709 €/m²
Kuumakse 686 €",2,26.1 m²,1/2,Apartment,For Sale
Narva,"68 000 € 1 355 €/m²
Kuumakse 313 €",2,50.2 m²,1/9,Apartment,For Sale
Tallinn,"230 000 € 3 892 €/m²
Kuumakse 1 059 €",3,59.1 m²,2/3,Apartment,For Sale
Tallinn,"164 000 € 2 539 €/m²
Kuumakse 755 €",3,64.6 m²,9/9,Apartment,For Sale
Pärnu,"484 000 € 4 685 €/m²
Kuumakse 2 229 €",4,103.3 m²,6/7,Apartment,For Sale
Narva,"78 000 € 2 000 €/m²
Kuumakse 359 €",2,39 m²,1/2,Apartment,For Sale
Tallinn,"255 900 € 3 907 €/m²
Kuumakse 1 179 €",3,65.5 m²,3/5,Apartment,For Sale
Tallinn,"259 000 € 2 695 €/m²
Kuumakse 1 193 €",3,96.1 m²,1/3,Apartment,For Sale
Narva,"200 000 € 4 292 €/m²
Kuumakse 921 €",1,46.6 m²,6/8,Apartment,For Sale
,"18 900 € 473 €/m²
Vaatan kuumakset",N/A,N/A,N/A,Apartment,For Sale
Tartu,"89 000 € 1 926 €/m²
Kuumakse 410 €",2,46.2 m²,1/5,Apartment,For Sale
Tallinn,"278 990 € 4 325 €/m²
Kuumakse 1 285 €",3,64.5 m²,3/4,Apartment,For Sale
Tallinn,"125 000 € 2 216 €/m²
Kuumakse 576 €",3,56.4 m²,5/5,Apartment,For Sale
Tartu,"219 000 € 2 391 €/m²
Kuumakse 1 009 €",2,91.6 m²,7/8,Apartment,For Sale
Viljandi,"95 000 € 1 522 €/m²
Kuumakse 438 €",2,62.4 m²,1/3,Apartment,For Sale
,"10 500 € 328 €/m²
Vaatan kuumakset",N/A,N/A,N/A,Apartment,For Sale
,"65 000 € 1 224 €/m²
Kuumakse 299 €",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"1 000 000 € 11 186 €/m²
Kuumakse 4 606 €",3,89.4 m²,5/7,Apartment,For Sale
Tallinn,"94 900 € 3 650 €/m²
Kuumakse 437 €",1,26 m²,1/2,Apartment,For Sale
Pärnu,"299 000 € 3 330 €/m²
Kuumakse 1 377 €",4,89.8 m²,3/3,Apartment,For Sale
Tallinn,"153 900 € 2 390 €/m²
Kuumakse 709 €",4,64.4 m²,8/9,Apartment,For Sale
Tartu,"115 000 € 2 032 €/m²
Kuumakse 530 €",3,56.6 m²,2/5,Apartment,For Sale
Tallinn,"385 000 € 5 604 €/m²
Kuumakse 1 773 €",3,68.7 m²,2/5,Apartment,For Sale
,"69 990 € 1 411 €/m²
Kuumakse 322 €",N/A,N/A,N/A,Apartment,For Sale
,"214 900 € 3 188 €/m²
Kuumakse 990 €",N/A,N/A,N/A,Apartment,For Sale
,"219 900 € 2 871 €/m²
Kuumakse 1 013 €",N/A,N/A,N/A,Apartment,For Sale
Viljandi,"Uus hind
59 990 € 1 212 €/m²
Kuumakse 276 €
65 000 €",2,49.5 m²,5/5,Apartment,For Sale
Pärnu,"362 000 € 4 647 €/m²
Kuumakse 1 667 €",4,77.9 m²,4/4,Apartment,For Sale
Tallinn,"110 000 € 3 090 €/m²
Kuumakse 507 €",1,35.6 m²,4/5,Apartment,For Sale
Tallinn,"169 500 € 3 459 €/m²
Kuumakse 781 €",2,49 m²,5/5,Apartment,For Sale
Tallinn,"88 990 € 2 705 €/m²
Kuumakse 410 €",1,32.9 m²,5/9,Apartment,For Sale
Tallinn,"95 000 € 2 554 €/m²
Kuumakse 438 €",2,37.2 m²,2/4,Apartment,For Sale
,"19 900 € 474 €/m²
Vaatan kuumakset",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"112 000 € 1 697 €/m²
Kuumakse 516 €",3,66 m²,1/5,Apartment,For Sale
Tartu,"195 000 € 2 294 €/m²
Kuumakse 898 €",4,85 m²,1/2,Apartment,For Sale
Tartu,"114 500 € 1 575 €/m²
Kuumakse 527 €",3,72.7 m²,3/5,Apartment,For Sale
,"264 900 € 4 583 €/m²
Kuumakse 1 220 €",N/A,N/A,N/A,Apartment,For Sale
Tartu,"162 990 € 5 109 €/m²
Kuumakse 751 €",2,31.9 m²,1/5,Apartment,For Sale
Pärnu,"155 000 € 3 196 €/m²
Kuumakse 714 €",2,48.5 m²,1/3,Apartment,For Sale
Paide,"69 000 € 1 453 €/m²
Kuumakse 318 €",3,47.5 m²,1/2,Apartment,For Sale
Võru,"26 500 € 847 €/m²
Kuumakse 122 €",1,31.3 m²,3/3,Apartment,For Sale
,"106 000 € 1 649 €/m²
Kuumakse 488 €",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"209 900 € 2 541 €/m²
Kuumakse 967 €",3,82.6 m²,1/4,Apartment,For Sale
Tallinn,"319 900 € 4 677 €/m²
Kuumakse 1 473 €",3,68.4 m²,3/12,Apartment,For Sale
Tallinn,"59 000 € 1 766 €/m²
Kuumakse 272 €",1,33.4 m²,N/A,Apartment,For Sale
Tallinn,"114 900 € 3 048 €/m²
Kuumakse 529 €",2,37.7 m²,1/4,Apartment,For Sale
Tallinn,"147 000 € 1 971 €/m²
Kuumakse 677 €",4,74.6 m²,1/5,Apartment,For Sale
Tartu,"107 000 € 2 524 €/m²
Kuumakse 493 €",2,42.4 m²,2/2,Apartment,For Sale
Viljandi,"124 999 € 2 181 €/m²
Kuumakse 576 €",2,57.3 m²,2/2,Apartment,For Sale
Haapsalu,"61 900 € 1 290 €/m²
Kuumakse 285 €",2,48 m²,2/5,Apartment,For Sale
,"10 000 € 232 €/m²
Vaatan kuumakset",N/A,N/A,N/A,Apartment,For Sale
Narva,"45 000 € 1 250 €/m²
Kuumakse 207 €",2,36 m²,2/3,Apartment,For Sale
,"219 900 € 3 215 €/m²
Kuumakse 1 013 €",N/A,N/A,N/A,Apartment,For Sale
Tartu,"173 900 € 2 739 €/m²
Kuumakse 801 €",3,63.5 m²,3/3,Apartment,For Sale
Tallinn,"175 000 € 3 054 €/m²
Kuumakse 806 €",2,57.3 m²,4/4,Apartment,For Sale
Tallinn,"250 000 € 3 420 €/m²
Kuumakse 1 151 €",3,73.1 m²,3/4,Apartment,For Sale
Narva,"39 900 € 1 084 €/m²
Kuumakse 184 €",2,36.8 m²,1/4,Apartment,For Sale
,"269 900 € 3 434 €/m²
Kuumakse 1 243 €",N/A,N/A,N/A,Apartment,For Sale
,"43 900 € 936 €/m²
Kuumakse 202 €",N/A,N/A,N/A,Apartment,For Sale
Pärnu,"83 000 € 2 091 €/m²
Kuumakse 382 €",2,39.7 m²,2/2,Apartment,For Sale
Tallinn,"Uus hind
439 000 € 4 295 €/m²
Kuumakse 2 022 €
484 000 €",4,102.2 m²,1/3,Apartment,For Sale
Viljandi,"83 000 € 1 071 €/m²
Kuumakse 382 €",4,77.5 m²,3/4,Apartment,For Sale
,"104 900 € 1 573 €/m²
Kuumakse 483 €",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"314 900 € 3 951 €/m²
Kuumakse 1 450 €",3,79.7 m²,1/4,Apartment,For Sale
Viljandi,"247 700 € 4 455 €/m²
Kuumakse 1 141 €",2,55.6 m²,1/3,Apartment,For Sale
Tallinn,"314 000 € 3 584 €/m²
Kuumakse 1 446 €",4,87.6 m²,3/5,Apartment,For Sale
Tallinn,"174 900 € 2 576 €/m²
Kuumakse 806 €",3,67.9 m²,4/4,Apartment,For Sale
Narva,"31 000 € 683 €/m²
Kuumakse 143 €",2,45.4 m²,5/5,Apartment,For Sale
Tallinn,"35 000 € 1 750 €/m²
Kuumakse 161 €",1,20 m²,5/5,Apartment,For Sale
Tallinn,"359 900 € 5 105 €/m²
Kuumakse 1 658 €",2,70.5 m²,2/6,Apartment,For Sale
Tallinn,"122 999 € 1 847 €/m²
Kuumakse 566 €",3,66.6 m²,5/5,Apartment,For Sale
Võru,"280 000 € 2 144 €/m²
Kuumakse 1 290 €",4,130.6 m²,N/A,Apartment,For Sale
Tallinn,"255 000 € 4 293 €/m²
Kuumakse 1 174 €",3,59.4 m²,1/4,Apartment,For Sale
Tallinn,"765 050 € 6 500 €/m²
Kuumakse 3 523 €",5,117.7 m²,3/3,Apartment,For Sale
,"10 000 € 150 €/m²
Vaatan kuumakset",N/A,N/A,N/A,Apartment,For Sale
Tartu,"159 000 € 2 469 €/m²
Kuumakse 732 €",2,64.4 m²,1/3,Apartment,For Sale
Tallinn,"219 900 € 2 621 €/m²
Kuumakse 1 013 €",4,83.9 m²,3/5,Apartment,For Sale
Tallinn,"154 900 € 4 490 €/m²
Kuumakse 713 €",1,34.5 m²,3/6,Apartment,For Sale
Viljandi,"28 000 € 831 €/m²
Kuumakse 129 €",1,33.7 m²,1/5,Apartment,For Sale
,"243 100 € 3 623 €/m²
Kuumakse 1 120 €",N/A,N/A,N/A,Apartment,For Sale
Narva,"31 000 € 675 €/m²
Kuumakse 143 €",2,45.9 m²,3/4,Apartment,For Sale
Tartu,"36 000 € 684 €/m²
Kuumakse 166 €",3,52.6 m²,N/A,Apartment,For Sale
Tallinn,"130 000 € 2 222 €/m²
Kuumakse 599 €",3,58.5 m²,2/5,Apartment,For Sale
Tallinn,"198 000 € 2 245 €/m²
Kuumakse 912 €",4,88.2 m²,8/10,Apartment,For Sale
Haapsalu,"73 000 € 1 090 €/m²
Kuumakse 336 €",3,67 m²,1/3,Apartment,For Sale
Pärnu,"92 000 € 1 962 €/m²
Kuumakse 424 €",2,46.9 m²,2/5,Apartment,For Sale
Tartu,"179 000 € 2 806 €/m²
Kuumakse 824 €",3,63.8 m²,1/4,Apartment,For Sale
Tallinn,"139 000 € 2 148 €/m²
Kuumakse 640 €",3,64.7 m²,5/5,Apartment,For Sale
Tallinn,"62 900 € 2 796 €/m²
Kuumakse 290 €",1,22.5 m²,2/2,Apartment,For Sale
,"16 900 € 362 €/m²
Vaatan kuumakset",N/A,N/A,N/A,Apartment,For Sale
Tapa,"29 000 € 624 €/m²
Kuumakse 134 €",2,46.5 m²,2/5,Apartment,For Sale
Tallinn,"290 000 € 2 698 €/m²
Kuumakse 1 336 €",4,107.5 m²,2/3,Apartment,For Sale
Tallinn,"299 500 € 2 358 €/m²
Kuumakse 1 379 €",3,127 m²,3/3,Apartment,For Sale
Viljandi,"105 000 € 1 207 €/m²
Kuumakse 484 €",2,87 m²,3/3,Apartment,For Sale
,"199 000 € 4 533 €/m²
Kuumakse 917 €",N/A,N/A,N/A,Apartment,For Sale
Pärnu,"99 000 € 2 134 €/m²
Kuumakse 456 €",3,46.4 m²,1/2,Apartment,For Sale
Tallinn,"177 000 € 3 758 €/m²
Kuumakse 815 €",2,47.1 m²,3/4,Apartment,For Sale
Tallinn,"490 000 € 2 893 €/m²
Kuumakse 2 257 €",6,169.4 m²,N/A,Apartment,For Sale
Viljandi,"124 320 € 2 800 €/m²
Kuumakse 572 €",2,44.4 m²,2/2,Apartment,For Sale
Tallinn,"239 000 € 3 170 €/m²
Kuumakse 1 101 €",4,75.4 m²,1/2,Apartment,For Sale
Tallinn,"149 999 € 3 178 €/m²
Kuumakse 691 €",3,47.2 m²,5/5,Apartment,For Sale
Tallinn,"256 000 € 4 830 €/m²
Kuumakse 1 179 €",2,53 m²,3/3,Apartment,For Sale
Pärnu,"39 000 € 721 €/m²
Kuumakse 180 €",3,54.1 m²,1/2,Apartment,For Sale
Tallinn,"123 000 € 2 628 €/m²
Kuumakse 566 €",2,46.8 m²,3/4,Apartment,For Sale
Tallinn,"175 000 € 2 246 €/m²
Kuumakse 806 €",4,77.9 m²,1/5,Apartment,For Sale
Tallinn,"228 900 € 3 093 €/m²
Kuumakse 1 054 €",4,74 m²,3/8,Apartment,For Sale
Haapsalu,"83 000 € 1 578 €/m²
Kuumakse 382 €",2,52.6 m²,2/5,Apartment,For Sale
Narva,"14 200 € 218 €/m²
Vaatan kuumakset",3,65.2 m²,1/3,Apartment,For Sale
Tallinn,"355 000 € 3 702 €/m²
Kuumakse 1 635 €",3,95.9 m²,7/8,Apartment,For Sale
Tallinn,"292 990 € 3 965 €/m²
Kuumakse 1 349 €",4,73.9 m²,3/9,Apartment,For Sale
Tallinn,"349 900 € 4 787 €/m²
Kuumakse 1 612 €",3,73.1 m²,3/3,Apartment,For Sale
,"65 000 € 1 102 €/m²
Kuumakse 299 €",N/A,N/A,N/A,Apartment,For Sale
,4 800 € 222 €/m²,N/A,N/A,N/A,Apartment,For Sale
Tallinn,"77 990 € 2 508 €/m²
Kuumakse 359 €",1,31.1 m²,1/5,Apartment,For Sale
Tartu,"119 900 € 1 531 €/m²
Kuumakse 552 €",4,78.3 m²,4/5,Apartment,For Sale
Tallinn,"125 000 € 3 406 €/m²
Kuumakse 576 €",1,36.7 m²,1/6,Apartment,For Sale
,"163 500 € 2 848 €/m²
Kuumakse 753 €",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"315 000 € 9 000 €/m²
Kuumakse 1 451 €",1,35 m²,1/5,Apartment,For Sale
Tallinn,"155 000 € 4 354 €/m²
Kuumakse 714 €",1,35.6 m²,2/4,Apartment,For Sale
Viljandi,"155 000 € 2 663 €/m²
Kuumakse 714 €",3,58.2 m²,1/2,Apartment,For Sale
Tartu,"89 000 € 2 479 €/m²
Kuumakse 410 €",2,35.9 m²,2/3,Apartment,For Sale
Tallinn,"199 900 € 4 308 €/m²
Kuumakse 921 €",2,46.4 m²,4/19,Apartment,For Sale
Pärnu,"68 000 € 1 405 €/m²
Kuumakse 313 €",2,48.4 m²,3/3,Apartment,For Sale
,"17 000 € 353 €/m²
Vaatan kuumakset",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"195 000 € 4 535 €/m²
Kuumakse 898 €",2,43 m²,9/19,Apartment,For Sale
Tallinn,"260 900 € 4 058 €/m²
Kuumakse 1 202 €",3,64.3 m²,3/5,Apartment,For Sale
Tallinn,"290 000 € 3 708 €/m²
Kuumakse 1 336 €",3,78.2 m²,3/5,Apartment,For Sale
,"309 000 € 3 021 €/m²
Kuumakse 1 423 €",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"251 000 € 4 305 €/m²
Kuumakse 1 156 €",2,58.3 m²,7/19,Apartment,For Sale
Narva,"45 000 € 888 €/m²
Kuumakse 207 €",2,50.7 m²,3/3,Apartment,For Sale
Tartu,"180 000 € 2 083 €/m²
Kuumakse 829 €",4,86.4 m²,1/1,Apartment,For Sale
Tallinn,"75 000 € 3 713 €/m²
Kuumakse 345 €",1,20.2 m²,2/2,Apartment,For Sale
Tallinn,"324 900 € 4 750 €/m²
Kuumakse 1 496 €",3,68.4 m²,4/12,Apartment,For Sale
Tartu,"39 900 € 819 €/m²
Kuumakse 184 €",2,48.7 m²,1/3,Apartment,For Sale
Tallinn,"229 000 € 2 881 €/m²
Kuumakse 1 055 €",4,79.5 m²,2/10,Apartment,For Sale
Tartu,"25 400 € 531 €/m²
Kuumakse 117 €",2,47.8 m²,1/2,Apartment,For Sale
Tartu,"25 400 € 531 €/m²
Kuumakse 117 €",2,47.8 m²,1/2,Apartment,For Sale
Tartu,"25 400 € 531 €/m²
Kuumakse 117 €",2,47.8 m²,1/2,Apartment,For Sale
Tallinn,"410 000 € 5 459 €/m²
Kuumakse 1 888 €",3,75.1 m²,3/5,Apartment,For Sale
Tallinn,"410 000 € 5 459 €/m²
Kuumakse 1 888 €",3,75.1 m²,3/5,Apartment,For Sale
Tallinn,"560 900 € 5 118 €/m²
Kuumakse 2 583 €",5,109.6 m²,2/8,Apartment,For Sale
Tallinn,"180 000 € 2 699 €/m²
Kuumakse 829 €",3,66.7 m²,5/5,Apartment,For Sale
,"85 000 € 1 069 €/m²
Kuumakse 391 €",N/A,N/A,N/A,Apartment,For Sale
Rakvere,"79 000 € 1 276 €/m²
Kuumakse 364 €",3,61.9 m²,5/5,Apartment,For Sale
Tallinn,"170 000 € 2 862 €/m²
Kuumakse 783 €",2,59.4 m²,3/5,Apartment,For Sale
Tartu,"99 000 € 1 576 €/m²
Kuumakse 456 €",3,62.8 m²,4/5,Apartment,For Sale
Pärnu,"168 000 € 2 688 €/m²
Kuumakse 774 €",3,62.5 m²,6/6,Apartment,For Sale
,"199 900 € 3 188 €/m²
Kuumakse 921 €",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"350 000 € 4 232 €/m²
Kuumakse 1 612 €",3,82.7 m²,6/7,Apartment,For Sale
,"24 000 € 383 €/m²
Kuumakse 111 €",N/A,N/A,N/A,Apartment,For Sale
Haapsalu,"215 000 € 3 015 €/m²
Kuumakse 990 €",3,71.3 m²,2/2,Apartment,For Sale
,"100 000 € 2 304 €/m²
Kuumakse 461 €",N/A,N/A,N/A,Apartment,For Sale
,"110 000 € 2 736 €/m²
Kuumakse 507 €",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"317 900 € 4 921 €/m²
Kuumakse 1 464 €",3,64.6 m²,3/6,Apartment,For Sale
Tallinn,"185 000 € 3 671 €/m²
Kuumakse 852 €",2,50.4 m²,1/3,Apartment,For Sale
Tallinn,"76 500 € 3 943 €/m²
Kuumakse 352 €",1,19.4 m²,1/5,Apartment,For Sale
,"55 900 € 841 €/m²
Kuumakse 257 €",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"340 000 € 3 509 €/m²
Kuumakse 1 566 €",4,96.9 m²,3/4,Apartment,For Sale
Tapa,"15 500 € 566 €/m²
Vaatan kuumakset",1,27.4 m²,2/3,Apartment,For Sale
,"59 000 € 883 €/m²
Kuumakse 272 €",N/A,N/A,N/A,Apartment,For Sale
Pärnu,"87 000 € 1 747 €/m²
Kuumakse 401 €",2,49.8 m²,1/3,Apartment,For Sale
Tallinn,"219 000 € 4 303 €/m²
Kuumakse 1 009 €",2,50.9 m²,1/2,Apartment,For Sale
Tallinn,"230 000 € 4 957 €/m²
Kuumakse 1 059 €",1,46.4 m²,2/6,Apartment,For Sale
Narva,"26 000 € 542 €/m²
Kuumakse 120 €",3,48 m²,4/4,Apartment,For Sale
Narva,"18 000 € 458 €/m²
Vaatan kuumakset",2,39.3 m²,5/5,Apartment,For Sale
Tartu,"167 000 € 1 876 €/m²
Kuumakse 769 €",3,89 m²,1/2,Apartment,For Sale
Tallinn,"147 890 € 2 107 €/m²
Kuumakse 681 €",3,70.2 m²,2/9,Apartment,For Sale
Pärnu,"180 000 € 3 681 €/m²
Kuumakse 829 €",2,48.9 m²,2/4,Apartment,For Sale
,"214 900 € 2 802 €/m²
Kuumakse 990 €",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"375 000 € 5 388 €/m²
Kuumakse 1 727 €",3,69.6 m²,3/5,Apartment,For Sale
Tallinn,"8 500 € 173 €/m²
Vaatan kuumakset",1,49 m²,2/2,Apartment,For Sale
,"26 000 € 534 €/m²
Kuumakse 120 €",N/A,N/A,N/A,Apartment,For Sale
,"69 900 € 942 €/m²
Kuumakse 322 €",N/A,N/A,N/A,Apartment,For Sale
