Town,Price,Amount of Rooms,Surface Area,Floor/Floors,Type,Sale/Rent
Tartu,"247 950 € 2 440 €/m²
Kuumakse 1 142 €",4,101.6 m²,2/5,Apartment,For Sale
Pärnu,"252 500 € 3 602 €/m²
Kuumakse 1 163 €",3,70.1 m²,2/3,Apartment,For Sale
Tallinn,"435 000 € 4 667 €/m²
Kuumakse 2 003 €",4,93.2 m²,1/3,Apartment,For Sale
Pärnu,"92 000 € 2 746 €/m²
Kuumakse 424 €",2,33.5 m²,3/4,Apartment,For Sale
Tallinn,"205 900 € 3 683 €/m²
Kuumakse 948 €",3,55.9 m²,2/3,Apartment,For Sale
Pärnu,"229 500 € 3 603 €/m²
Kuumakse 1 057 €",3,63.7 m²,2/3,Apartment,For Sale
Tartu,"231 000 € 3 598 €/m²
Kuumakse 1 064 €",3,64.2 m²,2/8,Apartment,For Sale
Pärnu,"194 000 € 3 606 €/m²
Kuumakse 893 €",2,53.8 m²,1/3,Apartment,For Sale
Tartu,"176 990 € 3 020 €/m²
Kuumakse 815 €",3,58.6 m²,1/4,Apartment,For Sale
,"274 900 € 3 755 €/m²
Kuumakse 1 266 €",N/A,N/A,N/A,Apartment,For Sale
Pärnu,"229 500 € 3 603 €/m²
Kuumakse 1 057 €",3,63.7 m²,1/3,Apartment,For Sale
Tallinn,"297 900 € 3 517 €/m²
Kuumakse 1 372 €",4,84.7 m²,2/4,Apartment,For Sale
Tallinn,"365 000 € 3 879 €/m²
Kuumakse 1 681 €",4,94.1 m²,3/6,Apartment,For Sale
Tallinn,"Uus hind
419 000 € 4 625 €/m²
Kuumakse 1 930 €
462 000 €",4,90.6 m²,2/3,Apartment,For Sale
Tallinn,"135 000 € 2 213 €/m²
Kuumakse 622 €",3,61 m²,3/5,Apartment,For Sale
,"269 900 € 3 589 €/m²
Kuumakse 1 243 €",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"219 000 € 3 504 €/m²
Kuumakse 1 009 €",3,62.5 m²,2/4,Apartment,For Sale
Tallinn,"239 000 € 3 551 €/m²
Kuumakse 1 101 €",3,67.3 m²,3/4,Apartment,For Sale
Tartu,"95 000 € 1 996 €/m²
Kuumakse 438 €",2,47.6 m²,2/5,Apartment,For Sale
Pärnu,"168 000 € 3 605 €/m²
Kuumakse 774 €",2,46.6 m²,1/3,Apartment,For Sale
Tallinn,"385 000 € 5 224 €/m²
Kuumakse 1 773 €",3,73.7 m²,3/3,Apartment,For Sale
Tallinn,"97 000 € 3 255 €/m²
Kuumakse 447 €",1,29.8 m²,1/5,Apartment,For Sale
,"126 000 € 2 897 €/m²
Kuumakse 580 €",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"Uus hind
106 900 € 2 457 €/m²
Kuumakse 492 €
109 500 €",2,43.5 m²,1/5,Apartment,For Sale
Tallinn,"95 000 € 2 000 €/m²
Kuumakse 438 €",2,47.5 m²,4/5,Apartment,For Sale
Tallinn,"225 000 € 3 763 €/m²
Kuumakse 1 036 €",2,59.8 m²,1/5,Apartment,For Sale
Tallinn,"85 000 € 2 191 €/m²
Kuumakse 391 €",2,38.8 m²,3/4,Apartment,For Sale
Tallinn,"305 000 € 4 045 €/m²
Kuumakse 1 405 €",3,75.4 m²,4/8,Apartment,For Sale
,"110 000 € 1 864 €/m²
Kuumakse 507 €",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"154 000 € 3 909 €/m²
Kuumakse 709 €",2,39.4 m²,2/5,Apartment,For Sale
,"Uus hind
22 000 € 337 €/m²
Kuumakse 101 €
26 000 €",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"419 900 € 4 660 €/m²
Kuumakse 1 934 €",3,90.1 m²,2/3,Apartment,For Sale
Tallinn,"350 000 € 2 482 €/m²
Kuumakse 1 612 €",4,141 m²,1/2,Apartment,For Sale
Tallinn,"441 000 € 3 845 €/m²
Kuumakse 2 031 €",3,114.7 m²,3/3,Apartment,For Sale
Tallinn,"465 000 € 4 963 €/m²
Kuumakse 2 142 €",4,93.7 m²,2/6,Apartment,For Sale
Tallinn,"245 000 € 3 603 €/m²
Kuumakse 1 128 €",3,68 m²,1/2,Apartment,For Sale
Tallinn,"329 000 € 5 557 €/m²
Kuumakse 1 515 €",3,59.2 m²,3/3,Apartment,For Sale
Pärnu,"139 900 € 3 180 €/m²
Kuumakse 644 €",2,44 m²,3/3,Apartment,For Sale
Tallinn,"145 950 € 2 997 €/m²
Kuumakse 672 €",3,48.7 m²,2/5,Apartment,For Sale
Tallinn,"199 000 € 4 533 €/m²
Kuumakse 917 €",2,43.9 m²,2/3,Apartment,For Sale
Pärnu,"210 000 € 5 645 €/m²
Kuumakse 967 €",1,37.2 m²,3/8,Apartment,For Sale
,"269 000 € 3 317 €/m²
Kuumakse 1 239 €",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"Uus hind
695 000 € 5 156 €/m²
Kuumakse 3 201 €
790 000 €",6,134.8 m²,N/A,Apartment,For Sale
Tallinn,"393 000 € 4 426 €/m²
Kuumakse 1 810 €",3,88.8 m²,1/2,Apartment,For Sale
Rakvere,"34 500 € 1 131 €/m²
Kuumakse 159 €",1,30.5 m²,2/2,Apartment,For Sale
Tallinn,"189 900 € 3 349 €/m²
Kuumakse 875 €",2,56.7 m²,1/6,Apartment,For Sale
Tallinn,"315 000 € 4 363 €/m²
Kuumakse 1 451 €",3,72.2 m²,2/4,Apartment,For Sale
Pärnu,"55 500 € 1 445 €/m²
Kuumakse 256 €",2,38.4 m²,2/2,Apartment,For Sale
,"59 000 € 1 625 €/m²
Kuumakse 272 €",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"124 900 € 1 922 €/m²
Kuumakse 575 €",3,65 m²,2/9,Apartment,For Sale
Tallinn,"209 902 € 2 595 €/m²
Kuumakse 967 €",3,80.9 m²,3/8,Apartment,For Sale
Tallinn,"154 900 € 1 961 €/m²
Kuumakse 713 €",4,79 m²,6/9,Apartment,For Sale
Tallinn,"333 000 € 5 008 €/m²
Kuumakse 1 534 €",2,66.5 m²,17/18,Apartment,For Sale
Tallinn,"129 700 € 3 202 €/m²
Kuumakse 597 €",2,40.5 m²,1/4,Apartment,For Sale
Tallinn,"207 000 € 2 987 €/m²
Kuumakse 953 €",2,69.3 m²,1/4,Apartment,For Sale
Tallinn,"239 000 € 3 256 €/m²
Kuumakse 1 101 €",3,73.4 m²,2/5,Apartment,For Sale
Tallinn,"175 000 € 3 855 €/m²
Kuumakse 806 €",2,45.4 m²,8/12,Apartment,For Sale
,"210 000 € 3 333 €/m²
Kuumakse 967 €",N/A,N/A,N/A,Apartment,For Sale
Pärnu,"160 000 € 2 941 €/m²
Kuumakse 737 €",3,54.4 m²,6/6,Apartment,For Sale
Tallinn,"285 000 € 4 037 €/m²
Kuumakse 1 313 €",3,70.6 m²,4/8,Apartment,For Sale
Tartu,"139 500 € 3 259 €/m²
Kuumakse 642 €",2,42.8 m²,1/5,Apartment,For Sale
Tartu,"98 200 € 2 000 €/m²
Kuumakse 452 €",2,49.1 m²,4/5,Apartment,For Sale
Tartu,"189 000 € 3 014 €/m²
Kuumakse 870 €",2,62.7 m²,2/4,Apartment,For Sale
Tallinn,"237 000 € 3 990 €/m²
Kuumakse 1 092 €",2,59.4 m²,1/2,Apartment,For Sale
Tallinn,"97 000 € 2 210 €/m²
Kuumakse 447 €",2,43.9 m²,1/5,Apartment,For Sale
Tallinn,"139 900 € 2 675 €/m²
Kuumakse 644 €",3,52.3 m²,5/5,Apartment,For Sale
Tallinn,"599 900 € 7 731 €/m²
Kuumakse 2 763 €",3,77.6 m²,3/6,Apartment,For Sale
Narva,"Uus hind
24 500 € 576 €/m²
Kuumakse 113 €
25 500 €",2,42.5 m²,4/5,Apartment,For Sale
Tallinn,"193 900 € 3 672 €/m²
Kuumakse 893 €",3,52.8 m²,1/4,Apartment,For Sale
Tallinn,"173 000 € 3 308 €/m²
Kuumakse 797 €",2,52.3 m²,2/3,Apartment,For Sale
Tallinn,"164 950 € 2 266 €/m²
Kuumakse 760 €",3,72.8 m²,3/5,Apartment,For Sale
Tallinn,"104 900 € 3 417 €/m²
Kuumakse 483 €",1,30.7 m²,3/8,Apartment,For Sale
,"124 900 € 1 881 €/m²
Kuumakse 575 €",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"499 900 € 5 720 €/m²
Kuumakse 2 302 €",3,87.4 m²,2/3,Apartment,For Sale
Tallinn,"244 000 € 3 342 €/m²
Kuumakse 1 124 €",4,73 m²,N/A,Apartment,For Sale
Tallinn,"185 000 € 3 491 €/m²
Kuumakse 852 €",2,53 m²,1/3,Apartment,For Sale
Pärnu,"29 000 € 585 €/m²
Kuumakse 134 €",2,49.6 m²,1/2,Apartment,For Sale
Tallinn,"237 000 € 5 267 €/m²
Kuumakse 1 092 €",3,45 m²,3/3,Apartment,For Sale
Tallinn,"179 500 € 3 426 €/m²
Kuumakse 827 €",3,52.4 m²,2/14,Apartment,For Sale
Tallinn,"147 000 € 5 176 €/m²
Kuumakse 677 €",1,28.4 m²,5/5,Apartment,For Sale
Tallinn,"109 000 € 2 060 €/m²
Kuumakse 502 €",2,52.9 m²,3/5,Apartment,For Sale
Tartu,"169 999 € 2 329 €/m²
Kuumakse 783 €",3,73 m²,3/6,Apartment,For Sale
Tallinn,"439 900 € 4 971 €/m²
Kuumakse 2 026 €",3,88.5 m²,2/3,Apartment,For Sale
,"129 500 € 2 308 €/m²
Kuumakse 596 €",N/A,N/A,N/A,Apartment,For Sale
,"39 950 € 819 €/m²
Kuumakse 184 €",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"199 000 € 4 012 €/m²
Kuumakse 917 €",2,49.6 m²,1/6,Apartment,For Sale
Tallinn,"149 900 € 2 725 €/m²
Kuumakse 690 €",2,55 m²,1/4,Apartment,For Sale
Tallinn,"169 900 € 2 532 €/m²
Kuumakse 783 €",2,67.1 m²,1/5,Apartment,For Sale
Tartu,"69 500 € 2 206 €/m²
Kuumakse 320 €",1,31.5 m²,1/5,Apartment,For Sale
Tartu,"175 000 € 1 768 €/m²
Kuumakse 806 €",3,99 m²,1/3,Apartment,For Sale
Tallinn,"94 900 € 2 068 €/m²
Kuumakse 437 €",2,45.9 m²,1/5,Apartment,For Sale
Tallinn,"559 900 € 5 415 €/m²
Kuumakse 2 579 €",4,103.4 m²,2/3,Apartment,For Sale
Paide,"30 000 € 574 €/m²
Kuumakse 138 €",2,52.3 m²,2/2,Apartment,For Sale
Tallinn,"184 990 € 2 868 €/m²
Kuumakse 852 €",3,64.5 m²,N/A,Apartment,For Sale
Tallinn,"164 900 € 2 699 €/m²
Kuumakse 759 €",3,61.1 m²,4/5,Apartment,For Sale
,"37 000 € 1 164 €/m²
Kuumakse 170 €",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"368 000 € 4 139 €/m²
Kuumakse 1 695 €",4,88.9 m²,3/3,Apartment,For Sale
,"54 900 € 1 156 €/m²
Kuumakse 253 €",N/A,N/A,N/A,Apartment,For Sale
Pärnu,"85 000 € 1 087 €/m²
Kuumakse 391 €",4,78.2 m²,1/2,Apartment,For Sale
,"40 499 € 1 023 €/m²
Kuumakse 187 €",N/A,N/A,N/A,Apartment,For Sale
,"199 900 € 3 178 €/m²
Kuumakse 921 €",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"254 600 € 4 067 €/m²
Kuumakse 1 173 €",3,62.6 m²,2/6,Apartment,For Sale
Tallinn,"133 500 € 2 192 €/m²
Kuumakse 615 €",3,60.9 m²,5/5,Apartment,For Sale
Tartu,"67 000 € 2 211 €/m²
Kuumakse 309 €",1,30.3 m²,9/9,Apartment,For Sale
Tallinn,"142 990 € 1 884 €/m²
Kuumakse 659 €",4,75.9 m²,4/9,Apartment,For Sale
Tallinn,"Uus hind
79 900 € 3 444 €/m²
Kuumakse 368 €
83 000 €",1,23.2 m²,1/3,Apartment,For Sale
Tallinn,"580 000 € 3 201 €/m²
Kuumakse 2 671 €",6,181.2 m²,4/5,Apartment,For Sale
Tallinn,"84 900 € 3 538 €/m²
Kuumakse 391 €",2,24 m²,2/5,Apartment,For Sale
Pärnu,"111 100 € 2 405 €/m²
Kuumakse 512 €",2,46.2 m²,2/5,Apartment,For Sale
Tallinn,"159 000 € 2 814 €/m²
Kuumakse 732 €",3,56.5 m²,5/5,Apartment,For Sale
Tallinn,"269 000 € 4 063 €/m²
Kuumakse 1 239 €",2,66.2 m²,1/4,Apartment,For Sale
Pärnu,"119 900 € 2 557 €/m²
Kuumakse 552 €",3,46.9 m²,2/2,Apartment,For Sale
Võru,"149 000 € 2 860 €/m²
Kuumakse 686 €",2,52.1 m²,2/2,Apartment,For Sale
Tallinn,"134 900 € 2 085 €/m²
Kuumakse 621 €",3,64.7 m²,4/9,Apartment,For Sale
Tallinn,"267 000 € 4 293 €/m²
Kuumakse 1 230 €",3,62.2 m²,2/4,Apartment,For Sale
,"299 990 € 3 058 €/m²
Kuumakse 1 382 €",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"114 900 € 2 873 €/m²
Kuumakse 529 €",2,40 m²,3/4,Apartment,For Sale
